monto,plazo_meses,sexo,educacion,edo_civil,edad,saldo,default
200000,56,hombre,primaria,casado,57,479158,1
10000,27,hombre,secundaria,casado,56,25862,1
210000,54,mujer,primaria,divorciado,30,17787,0
130000,54,mujer,universitaria,divorciado,29,49280,0
20000,60,hombre,maestria,divorciado,22,92026,0
80000,17,hombre,primaria,divorciado,31,4290,0
320000,43,hombre,secundaria,divorciado,29,375952,1
200000,33,mujer,secundaria,casado,32,45937,0
290000,57,mujer,primaria,divorciado,37,11028,0
340000,25,hombre,primaria,divorciado,32,284196,0
20000,45,hombre,secundaria,divorciado,24,106918,0
50000,30,hombre,universitaria,divorciado,25,151764,0
300000,30,mujer,primaria,casado,45,3492,0
30000,56,mujer,secundaria,divorciado,22,157597,1
240000,39,mujer,secundaria,divorciado,44,0,1
470000,32,mujer,universitaria,viudo,33,636749,0
360000,39,mujer,primaria,divorciado,26,456258,0
60000,43,hombre,universitaria,divorciado,30,148911,1
400000,12,mujer,secundaria,casado,44,723705,0
50000,27,mujer,universitaria,divorciado,49,183551,0
160000,26,hombre,secundaria,divorciado,33,768760,0
360000,31,mujer,primaria,casado,45,5850,1
160000,13,mujer,secundaria,divorciado,32,39839,0
130000,15,mujer,primaria,casado,35,283239,0
20000,24,hombre,universitaria,divorciado,44,67460,0
200000,58,hombre,primaria,casado,53,894967,1
280000,45,mujer,primaria,divorciado,39,19328,0
100000,27,mujer,primaria,divorciado,27,11110,0
160000,18,mujer,secundaria,casado,37,15180,0
60000,28,mujer,secundaria,divorciado,23,204100,0
90000,13,hombre,secundaria,divorciado,35,366472,0
360000,55,hombre,primaria,casado,43,179073,0
150000,49,hombre,primaria,divorciado,27,503252,0
50000,14,mujer,universitaria,casado,22,87577,0
20000,55,hombre,secundaria,casado,38,98902,1
140000,31,hombre,primaria,divorciado,32,26686,0
380000,12,mujer,primaria,divorciado,30,174621,0
480000,22,hombre,primaria,casado,63,2891986,0
50000,30,mujer,universitaria,divorciado,22,212236,1
60000,51,mujer,secundaria,divorciado,26,355555,0
70000,60,mujer,secundaria,divorciado,24,60638,0
80000,45,mujer,secundaria,casado,36,30659,0
350000,45,hombre,primaria,divorciado,52,26272,0
130000,52,hombre,secundaria,divorciado,38,968706,0
360000,39,hombre,secundaria,casado,35,-618,0
330000,33,mujer,primaria,casado,31,672327,0
50000,24,hombre,universitaria,casado,47,100139,0
280000,31,hombre,secundaria,casado,41,895612,0
100000,48,mujer,primaria,divorciado,24,353052,0
50000,14,hombre,secundaria,divorciado,41,124581,0
30000,60,hombre,primaria,divorciado,24,123972,1
240000,16,hombre,primaria,divorciado,28,15112,0
80000,34,hombre,secundaria,divorciado,26,106722,1
400000,50,hombre,secundaria,casado,34,129719,0
240000,37,mujer,secundaria,divorciado,38,220776,0
50000,57,hombre,universitaria,divorciado,37,300480,1
450000,49,hombre,primaria,casado,40,0,1
110000,14,mujer,primaria,casado,48,0,0
310000,31,mujer,secundaria,casado,35,1680511,1
20000,40,hombre,primaria,divorciado,27,116408,0
20000,17,hombre,secundaria,divorciado,23,0,0
200000,33,hombre,universitaria,divorciado,52,639741,0
180000,58,hombre,primaria,casado,36,683653,1
50000,57,hombre,secundaria,casado,51,36748,1
60000,18,hombre,universitaria,casado,55,271636,0
30000,35,mujer,primaria,divorciado,23,64662,0
240000,60,hombre,primaria,divorciado,41,20223,0
420000,24,hombre,secundaria,casado,34,1403220,0
330000,48,hombre,universitaria,casado,46,1418413,0
30000,18,mujer,secundaria,divorciado,22,128942,0
240000,23,hombre,secundaria,casado,34,82335,0
150000,49,hombre,primaria,divorciado,27,160829,0
210000,59,mujer,secundaria,casado,33,50302,0
50000,39,mujer,universitaria,casado,51,13112,1
50000,43,hombre,primaria,divorciado,24,217290,0
240000,58,hombre,primaria,divorciado,47,0,1
180000,12,hombre,secundaria,divorciado,28,9408,0
50000,40,hombre,secundaria,divorciado,23,112987,0
170000,27,hombre,secundaria,divorciado,29,133834,0
20000,56,hombre,primaria,divorciado,29,50151,0
50000,47,hombre,primaria,divorciado,28,55367,0
170000,29,mujer,secundaria,divorciado,27,108764,1
200000,19,hombre,primaria,divorciado,34,881273,0
80000,51,mujer,secundaria,casado,23,66071,0
260000,21,mujer,primaria,casado,60,45507,0
140000,59,hombre,secundaria,casado,32,427590,0
80000,36,hombre,primaria,divorciado,25,319528,0
350000,46,hombre,primaria,divorciado,41,9280,0
280000,32,mujer,secundaria,casado,56,1104821,0
30000,37,mujer,universitaria,divorciado,26,78772,0
140000,43,hombre,primaria,casado,34,258369,0
200000,36,mujer,primaria,divorciado,37,597967,0
200000,31,mujer,universitaria,divorciado,30,1055948,0
210000,28,hombre,universitaria,casado,45,870719,1
50000,36,hombre,universitaria,casado,57,83684,0
30000,51,hombre,primaria,divorciado,41,170746,0
50000,38,hombre,secundaria,divorciado,27,6036,0
290000,56,hombre,universitaria,casado,47,6013,0
250000,38,mujer,primaria,casado,34,958792,0
60000,53,mujer,secundaria,casado,46,160304,0
110000,22,mujer,primaria,divorciado,27,560439,0
370000,27,hombre,primaria,divorciado,50,125014,0
100000,26,hombre,secundaria,casado,27,365995,0
90000,26,mujer,secundaria,casado,35,497603,0
50000,48,mujer,secundaria,divorciado,22,178154,0
270000,43,hombre,secundaria,divorciado,37,199209,0
300000,33,mujer,primaria,divorciado,30,23626,0
50000,44,mujer,secundaria,divorciado,22,84936,0
50000,18,mujer,primaria,divorciado,24,-11569,1
360000,48,hombre,primaria,divorciado,29,154,0
130000,55,hombre,universitaria,casado,56,425075,1
80000,59,hombre,primaria,divorciado,30,21628,0
50000,31,hombre,secundaria,divorciado,30,226983,0
20000,39,mujer,secundaria,divorciado,22,90827,0
80000,58,mujer,secundaria,casado,29,332359,0
240000,19,hombre,primaria,divorciado,37,202452,0
80000,47,mujer,universitaria,divorciado,35,158487,0
500000,48,mujer,primaria,casado,47,801793,0
60000,37,mujer,secundaria,casado,24,233280,1
20000,14,hombre,secundaria,divorciado,25,56257,0
100000,24,mujer,secundaria,casado,38,97951,1
360000,21,mujer,primaria,divorciado,32,362834,0
200000,42,mujer,universitaria,divorciado,47,1218566,1
130000,30,mujer,secundaria,casado,34,75139,0
20000,18,mujer,secundaria,divorciado,31,127552,0
310000,13,hombre,primaria,divorciado,32,394159,0
60000,22,mujer,primaria,divorciado,27,136770,1
180000,54,mujer,primaria,divorciado,29,68735,0
180000,32,mujer,primaria,divorciado,24,106306,0
50000,48,hombre,secundaria,casado,36,111381,0
50000,51,mujer,primaria,divorciado,24,236891,1
150000,56,mujer,secundaria,casado,34,3232,0
20000,19,mujer,primaria,divorciado,22,128277,0
500000,16,mujer,primaria,casado,34,28318,0
30000,59,mujer,universitaria,divorciado,22,120757,1
180000,33,mujer,primaria,casado,38,750,0
140000,45,hombre,primaria,divorciado,31,169172,0
140000,44,mujer,primaria,divorciado,26,114075,0
120000,45,hombre,secundaria,divorciado,26,718046,0
360000,54,mujer,secundaria,casado,48,1240279,0
20000,24,hombre,universitaria,casado,43,130479,0
100000,57,hombre,primaria,casado,47,8056,0
210000,34,mujer,secundaria,casado,41,16645,1
80000,22,mujer,secundaria,divorciado,24,405245,1
330000,33,mujer,primaria,casado,50,30330,0
220000,56,hombre,primaria,divorciado,24,523964,0
210000,37,mujer,primaria,casado,38,14261,1
40000,25,mujer,universitaria,casado,43,224349,0
30000,23,hombre,secundaria,divorciado,39,112096,0
470000,58,hombre,secundaria,divorciado,27,2058508,0
30000,33,hombre,universitaria,casado,42,6000,0
240000,37,mujer,secundaria,casado,36,-5676,1
80000,21,hombre,secundaria,divorciado,36,490309,0
110000,31,mujer,universitaria,soltero,31,480801,0
310000,49,mujer,primaria,divorciado,38,10760,0
360000,13,mujer,primaria,casado,40,717665,1
330000,43,mujer,universitaria,divorciado,45,2078641,0
300000,37,mujer,secundaria,divorciado,35,1505897,0
320000,35,mujer,secundaria,divorciado,33,479134,0
50000,26,mujer,universitaria,divorciado,37,278285,1
170000,54,mujer,primaria,divorciado,28,820651,0
350000,31,hombre,universitaria,casado,44,13503,0
20000,36,hombre,secundaria,casado,37,116025,0
50000,39,hombre,secundaria,divorciado,23,211575,1
20000,52,mujer,universitaria,divorciado,24,69045,0
50000,36,mujer,primaria,divorciado,24,139662,0
20000,22,hombre,secundaria,divorciado,23,107856,1
50000,25,hombre,secundaria,casado,26,249486,0
190000,53,hombre,secundaria,divorciado,34,862945,1
60000,38,mujer,secundaria,casado,33,181729,0
80000,26,hombre,primaria,divorciado,35,78145,0
150000,59,mujer,secundaria,divorciado,27,412405,0
210000,26,mujer,primaria,divorciado,31,38119,0
240000,20,mujer,universitaria,casado,50,1364224,1
140000,58,mujer,secundaria,viudo,41,129451,1
60000,14,mujer,primaria,divorciado,28,46721,0
50000,41,hombre,primaria,divorciado,39,254044,0
50000,24,mujer,secundaria,divorciado,27,177184,0
180000,28,mujer,primaria,divorciado,32,20452,0
30000,42,mujer,primaria,divorciado,40,1208,0
20000,38,mujer,secundaria,divorciado,40,85807,0
250000,13,mujer,secundaria,casado,75,75144,0
100000,45,mujer,secundaria,divorciado,27,204758,0
330000,31,hombre,primaria,divorciado,25,271235,0
50000,52,hombre,universitaria,casado,46,124898,0
50000,18,mujer,secundaria,divorciado,26,250924,0
30000,15,hombre,secundaria,divorciado,28,143216,0
140000,55,mujer,secundaria,divorciado,26,656480,1
160000,54,mujer,primaria,divorciado,28,469702,0
400000,31,mujer,secundaria,divorciado,29,48855,0
50000,49,hombre,secundaria,casado,25,180394,0
140000,53,mujer,secundaria,casado,48,54596,0
160000,56,mujer,secundaria,casado,33,150868,0
100000,44,mujer,universitaria,casado,43,62170,0
220000,35,hombre,primaria,casado,48,1171460,1
510000,44,mujer,primaria,divorciado,29,673681,0
50000,46,hombre,secundaria,divorciado,29,218713,0
160000,44,mujer,primaria,casado,38,107419,0
230000,38,mujer,primaria,divorciado,37,105687,0
80000,60,mujer,primaria,divorciado,37,64011,0
150000,55,mujer,secundaria,casado,25,8368,0
10000,54,hombre,universitaria,divorciado,23,56068,0
130000,36,mujer,universitaria,divorciado,49,367767,1
40000,22,mujer,primaria,divorciado,48,217175,0
50000,18,hombre,secundaria,divorciado,27,80348,1
100000,26,hombre,universitaria,divorciado,32,189895,0
120000,57,hombre,primaria,casado,34,6214,0
260000,46,mujer,primaria,divorciado,58,0,1
200000,12,mujer,secundaria,divorciado,33,92393,0
360000,21,mujer,secundaria,divorciado,28,0,1
70000,14,mujer,secundaria,divorciado,36,294000,0
460000,41,hombre,primaria,casado,40,55966,1
50000,21,mujer,primaria,divorciado,26,4632,0
50000,17,hombre,universitaria,casado,33,218795,0
250000,51,mujer,secundaria,casado,31,630911,0
30000,30,mujer,primaria,divorciado,27,9612,0
270000,36,hombre,secundaria,casado,44,630808,0
180000,48,mujer,universitaria,divorciado,30,787403,0
100000,25,mujer,primaria,divorciado,28,343380,0
230000,34,mujer,universitaria,casado,32,696517,0
210000,45,mujer,primaria,casado,46,331509,0
210000,60,hombre,primaria,divorciado,38,372774,0
440000,33,mujer,secundaria,casado,46,857925,0
100000,20,mujer,secundaria,divorciado,25,416848,1
240000,44,mujer,secundaria,casado,46,62392,0
280000,32,hombre,primaria,divorciado,33,11480,1
50000,26,mujer,secundaria,divorciado,22,0,1
30000,51,hombre,secundaria,casado,43,14972,0
10000,37,hombre,secundaria,divorciado,27,62318,1
130000,15,hombre,primaria,divorciado,29,1500,0
200000,51,hombre,primaria,divorciado,31,1015383,0
120000,30,mujer,secundaria,casado,29,16480,0
210000,25,mujer,secundaria,casado,36,891157,0
280000,16,mujer,primaria,casado,36,285358,0
300000,43,hombre,primaria,divorciado,34,78199,1
100000,49,hombre,secundaria,divorciado,37,478154,0
440000,14,mujer,primaria,divorciado,36,162000,0
50000,58,mujer,universitaria,casado,40,161907,0
20000,47,mujer,primaria,divorciado,25,109947,1
200000,33,mujer,primaria,divorciado,27,31163,0
110000,15,mujer,secundaria,divorciado,26,24984,0
500000,41,mujer,secundaria,casado,36,84581,0
300000,24,mujer,secundaria,casado,27,10430,0
30000,54,hombre,universitaria,casado,55,81763,1
60000,25,mujer,primaria,divorciado,27,113023,0
400000,24,mujer,secundaria,casado,38,40306,0
180000,38,mujer,secundaria,casado,34,859666,0
20000,50,hombre,primaria,divorciado,40,89647,0
200000,45,mujer,universitaria,casado,49,349333,1
100000,54,hombre,primaria,divorciado,27,199374,0
60000,34,hombre,secundaria,divorciado,23,179545,1
110000,15,mujer,secundaria,divorciado,36,317317,0
260000,46,mujer,universitaria,casado,53,4509,0
50000,24,mujer,universitaria,casado,46,220888,0
180000,52,hombre,secundaria,divorciado,29,-12,0
110000,30,hombre,secundaria,divorciado,29,321700,1
340000,35,mujer,primaria,divorciado,27,1013284,0
50000,40,hombre,secundaria,divorciado,24,42669,0
230000,32,mujer,secundaria,casado,28,67077,1
360000,15,mujer,secundaria,divorciado,32,632409,0
210000,57,hombre,secundaria,divorciado,43,212712,0
220000,43,mujer,secundaria,casado,41,5300,1
60000,50,mujer,secundaria,casado,34,180193,1
340000,58,hombre,secundaria,casado,55,301952,0
150000,23,hombre,primaria,casado,40,649755,0
200000,34,mujer,secundaria,casado,37,98790,1
130000,29,mujer,secundaria,divorciado,40,73714,1
60000,12,mujer,primaria,divorciado,28,126962,0
400000,48,mujer,secundaria,casado,43,159976,0
20000,53,hombre,primaria,divorciado,27,122250,0
190000,14,mujer,primaria,divorciado,28,949711,0
260000,27,mujer,primaria,divorciado,30,997100,0
140000,51,mujer,secundaria,divorciado,31,390,0
50000,45,mujer,secundaria,casado,31,244687,1
120000,24,mujer,primaria,divorciado,34,37190,0
240000,32,mujer,secundaria,divorciado,30,2527,0
50000,48,hombre,secundaria,divorciado,36,22237,0
200000,35,mujer,primaria,divorciado,29,107724,0
180000,23,hombre,primaria,casado,39,1205705,0
180000,28,mujer,primaria,divorciado,26,761557,0
160000,60,mujer,primaria,divorciado,29,34332,0
100000,33,mujer,secundaria,divorciado,26,33197,0
50000,39,mujer,secundaria,divorciado,29,286459,1
140000,24,mujer,secundaria,divorciado,31,874424,0
30000,36,mujer,secundaria,divorciado,26,123954,1
90000,48,hombre,primaria,divorciado,26,118424,0
200000,37,hombre,primaria,casado,36,144338,0
380000,55,hombre,primaria,divorciado,30,0,1
80000,16,mujer,secundaria,divorciado,43,315197,0
50000,17,hombre,universitaria,casado,58,115889,0
180000,48,hombre,secundaria,casado,45,186059,1
240000,21,mujer,secundaria,divorciado,26,752338,0
380000,20,hombre,secundaria,divorciado,34,1146971,0
110000,49,mujer,especializacion,divorciado,24,506956,0
260000,43,hombre,primaria,casado,34,259353,0
500000,49,mujer,secundaria,divorciado,23,3002153,1
320000,56,mujer,secundaria,divorciado,30,451987,0
50000,37,hombre,secundaria,divorciado,32,254344,0
110000,43,hombre,primaria,casado,40,7062,1
230000,25,mujer,primaria,divorciado,35,6387,0
330000,52,mujer,secundaria,casado,56,31701,0
50000,50,mujer,secundaria,casado,61,228553,0
10000,12,hombre,secundaria,divorciado,24,16402,0
300000,56,hombre,primaria,casado,40,0,0
20000,43,mujer,secundaria,casado,32,96521,1
180000,53,hombre,secundaria,casado,36,83538,1
160000,19,hombre,primaria,divorciado,30,181406,0
90000,49,mujer,primaria,divorciado,34,274416,0
30000,41,hombre,universitaria,viudo,54,153140,0
180000,56,hombre,primaria,casado,46,1025649,0
30000,17,hombre,universitaria,casado,58,134288,0
30000,55,hombre,secundaria,casado,43,139746,0
140000,58,mujer,primaria,divorciado,28,80970,0
210000,19,hombre,primaria,divorciado,30,352965,0
50000,44,hombre,secundaria,divorciado,31,100278,1
130000,35,mujer,secundaria,divorciado,29,492879,0
50000,43,mujer,secundaria,casado,37,19897,1
140000,26,hombre,universitaria,casado,36,586093,0
170000,47,mujer,secundaria,divorciado,28,33271,1
80000,15,hombre,secundaria,divorciado,25,125354,0
410000,32,mujer,maestria,casado,42,1805254,0
80000,47,mujer,primaria,divorciado,29,160000,0
80000,52,hombre,universitaria,casado,73,439614,1
150000,22,hombre,secundaria,casado,43,980933,0
260000,35,hombre,primaria,casado,30,134401,1
350000,46,hombre,primaria,casado,38,0,0
280000,21,mujer,secundaria,casado,39,223638,1
310000,21,hombre,secundaria,casado,44,523512,0
140000,54,mujer,secundaria,divorciado,29,134869,0
360000,33,hombre,primaria,casado,51,88000,0
140000,31,mujer,primaria,divorciado,27,901945,0
100000,45,hombre,primaria,divorciado,38,245924,0
50000,36,mujer,secundaria,divorciado,22,2960,0
210000,12,mujer,secundaria,casado,30,590461,0
120000,36,mujer,secundaria,divorciado,25,725477,0
240000,41,hombre,primaria,divorciado,29,871541,0
60000,20,mujer,universitaria,viudo,42,194892,0
150000,40,hombre,primaria,divorciado,41,12389,1
30000,47,hombre,secundaria,casado,48,170485,0
160000,15,mujer,primaria,divorciado,29,1005327,1
200000,39,hombre,primaria,casado,52,184581,0
120000,13,mujer,secundaria,casado,25,53869,0
500000,15,hombre,primaria,casado,37,2531167,0
320000,16,mujer,primaria,divorciado,27,432716,0
280000,40,hombre,primaria,divorciado,31,1086555,0
60000,36,mujer,primaria,divorciado,23,193838,1
200000,29,mujer,primaria,casado,38,774,0
230000,51,mujer,primaria,casado,32,23211,0
230000,13,mujer,secundaria,divorciado,27,71773,1
480000,57,mujer,universitaria,casado,41,572202,0
50000,41,mujer,universitaria,casado,35,33140,0
200000,33,mujer,primaria,divorciado,31,43158,0
50000,23,mujer,primaria,divorciado,30,112494,0
50000,53,hombre,secundaria,casado,48,195878,0
260000,15,mujer,primaria,divorciado,36,0,1
30000,40,hombre,primaria,divorciado,24,175268,0
440000,31,mujer,primaria,divorciado,29,1004412,0
230000,53,mujer,secundaria,divorciado,38,27442,0
200000,28,hombre,secundaria,casado,38,634453,1
490000,19,mujer,secundaria,casado,30,1228202,0
80000,55,mujer,secundaria,casado,32,11262,0
20000,22,mujer,universitaria,divorciado,49,89166,1
170000,49,mujer,primaria,divorciado,31,2786,1
70000,45,hombre,primaria,divorciado,27,330042,0
210000,36,mujer,secundaria,divorciado,33,787133,0
90000,45,mujer,secundaria,divorciado,25,483610,0
390000,21,mujer,primaria,divorciado,27,1835043,1
110000,53,mujer,primaria,divorciado,29,317849,0
580000,24,mujer,primaria,casado,36,1030944,0
360000,18,hombre,universitaria,casado,55,61940,0
270000,23,mujer,secundaria,casado,32,1401821,1
60000,50,mujer,primaria,divorciado,27,15322,0
110000,14,hombre,universitaria,casado,37,381090,0
50000,39,mujer,primaria,casado,25,243965,0
80000,12,mujer,primaria,divorciado,23,388366,1
50000,60,hombre,secundaria,divorciado,23,44654,0
100000,14,hombre,primaria,divorciado,32,552297,0
30000,52,mujer,primaria,divorciado,26,8274,0
200000,12,mujer,primaria,divorciado,27,764888,0
240000,30,hombre,primaria,divorciado,44,1357481,1
220000,20,hombre,secundaria,divorciado,34,166968,0
160000,53,mujer,primaria,divorciado,28,620465,0
180000,52,mujer,primaria,casado,53,116026,0
200000,49,hombre,especializacion,casado,42,182390,0
140000,43,mujer,universitaria,casado,30,488387,0
380000,37,hombre,primaria,casado,51,0,1
600000,13,hombre,primaria,casado,53,2809542,1
260000,60,hombre,secundaria,divorciado,37,1103951,0
200000,51,mujer,primaria,divorciado,26,169559,0
80000,34,hombre,secundaria,divorciado,42,392618,0
40000,39,hombre,secundaria,divorciado,39,139009,0
130000,43,hombre,universitaria,divorciado,39,457958,0
50000,18,hombre,primaria,divorciado,32,104206,0
230000,58,mujer,secundaria,casado,41,108105,0
70000,42,hombre,secundaria,casado,48,171394,1
180000,40,mujer,secundaria,casado,38,874525,0
80000,58,mujer,secundaria,casado,36,56804,0
290000,52,mujer,secundaria,divorciado,26,364139,0
230000,60,mujer,primaria,divorciado,28,708929,0
170000,48,mujer,universitaria,viudo,56,4896,0
230000,43,hombre,primaria,casado,59,1253426,1
220000,23,hombre,primaria,divorciado,38,1233328,1
230000,28,hombre,secundaria,divorciado,32,148093,0
500000,42,hombre,secundaria,casado,38,400449,0
90000,40,mujer,primaria,casado,41,34202,0
390000,45,mujer,universitaria,divorciado,35,1932314,1
400000,58,mujer,secundaria,divorciado,41,1670079,0
180000,36,hombre,secundaria,casado,34,22639,0
60000,40,hombre,universitaria,casado,38,201542,0
120000,50,mujer,secundaria,casado,32,39382,0
60000,56,mujer,secundaria,divorciado,29,174478,0
50000,24,hombre,primaria,divorciado,44,203787,0
70000,42,mujer,secundaria,casado,37,395533,0
500000,24,mujer,primaria,casado,38,5052,0
200000,12,hombre,primaria,divorciado,31,0,0
250000,49,mujer,secundaria,casado,40,467984,0
140000,25,hombre,secundaria,divorciado,26,872137,1
70000,56,mujer,secundaria,divorciado,28,180530,0
90000,20,hombre,universitaria,casado,48,426356,0
100000,49,mujer,secundaria,casado,43,20016,0
190000,52,hombre,secundaria,casado,31,923285,0
230000,47,mujer,primaria,casado,42,98401,0
320000,12,hombre,secundaria,casado,39,579282,0
220000,24,mujer,secundaria,casado,36,8048,1
260000,53,mujer,primaria,casado,34,67855,0
90000,32,mujer,secundaria,divorciado,32,730,0
30000,37,mujer,secundaria,casado,43,148817,0
260000,36,hombre,secundaria,divorciado,30,690156,0
170000,25,mujer,secundaria,divorciado,28,50536,0
80000,46,mujer,primaria,casado,28,62452,1
50000,33,hombre,primaria,casado,41,6586,0
200000,52,mujer,universitaria,divorciado,47,1240399,0
20000,58,hombre,secundaria,divorciado,23,134357,0
250000,22,mujer,primaria,casado,49,3590,0
20000,34,hombre,primaria,casado,38,122581,0
30000,36,mujer,secundaria,casado,38,146651,0
90000,24,mujer,secundaria,casado,35,175240,0
230000,51,mujer,doctorado,divorciado,46,1298671,0
130000,27,mujer,primaria,casado,33,112017,1
30000,31,hombre,doctorado,casado,53,0,0
160000,41,hombre,primaria,divorciado,35,6005,0
500000,25,mujer,secundaria,divorciado,43,1580666,0
180000,26,mujer,secundaria,divorciado,28,236170,0
80000,37,mujer,secundaria,casado,30,80625,0
120000,17,hombre,primaria,divorciado,26,21776,0
130000,38,hombre,secundaria,casado,31,12157,0
120000,16,mujer,secundaria,divorciado,35,2880,1
360000,45,hombre,primaria,divorciado,28,248359,0
50000,53,hombre,secundaria,divorciado,23,198059,1
20000,15,mujer,secundaria,divorciado,23,108545,0
100000,33,hombre,universitaria,casado,56,571784,0
70000,29,hombre,universitaria,casado,32,435086,0
50000,52,hombre,secundaria,casado,47,120785,0
10000,54,mujer,secundaria,divorciado,22,63877,0
290000,32,mujer,primaria,casado,34,663930,0
30000,41,mujer,primaria,casado,31,118047,0
410000,50,mujer,secundaria,divorciado,27,334410,0
360000,52,hombre,primaria,divorciado,28,879629,1
140000,12,mujer,secundaria,casado,42,528645,1
210000,55,mujer,primaria,divorciado,32,445493,0
220000,44,mujer,secundaria,divorciado,27,192006,0
20000,12,hombre,secundaria,divorciado,27,120701,0
620000,15,mujer,secundaria,casado,45,1010650,1
360000,55,hombre,primaria,divorciado,26,8543,0
20000,18,mujer,secundaria,divorciado,21,89125,0
50000,45,hombre,secundaria,divorciado,23,158033,0
50000,48,hombre,secundaria,viudo,30,225269,0
10000,28,hombre,secundaria,divorciado,46,40721,1
100000,14,mujer,universitaria,casado,50,373695,1
50000,30,hombre,primaria,divorciado,26,20742,0
60000,22,hombre,secundaria,divorciado,25,31401,0
440000,26,mujer,primaria,divorciado,35,1646680,0
120000,44,hombre,secundaria,casado,44,435811,0
50000,47,mujer,primaria,divorciado,52,9059,0
110000,25,mujer,secundaria,casado,40,599633,0
200000,14,mujer,primaria,divorciado,38,1692,0
150000,51,mujer,primaria,divorciado,28,636,0
30000,40,mujer,secundaria,casado,36,174330,1
100000,50,mujer,primaria,divorciado,24,215881,0
360000,60,mujer,primaria,casado,34,98551,0
390000,49,mujer,primaria,divorciado,31,307264,0
220000,54,mujer,primaria,casado,41,-525,1
160000,48,mujer,secundaria,divorciado,25,0,0
230000,33,mujer,primaria,divorciado,28,89379,0
120000,19,hombre,primaria,divorciado,27,273919,0
100000,15,hombre,universitaria,casado,52,45206,1
190000,13,mujer,primaria,divorciado,41,115966,1
50000,31,hombre,primaria,casado,56,228808,1
240000,14,mujer,primaria,casado,42,12740,0
40000,60,mujer,secundaria,divorciado,24,233677,0
630000,26,mujer,secundaria,casado,47,174191,0
160000,18,mujer,primaria,casado,33,22223,0
110000,42,mujer,secundaria,divorciado,32,492318,0
20000,54,hombre,secundaria,divorciado,29,37682,0
210000,44,mujer,universitaria,casado,53,377519,0
270000,30,hombre,primaria,divorciado,34,100978,0
